,columns,missing values count
353,Sensor - 354,168
354,Sensor - 355,168
355,Sensor - 356,168
356,Sensor - 357,7
357,Sensor - 358,12
358,Sensor - 359,4027
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,330
363,Sensor - 364,330
364,Sensor - 365,31
365,Sensor - 366,13
366,Sensor - 367,13
367,Sensor - 368,31
368,Sensor - 369,31
369,Sensor - 370,31
370,Sensor - 371,31
371,Sensor - 372,31
372,Sensor - 373,31
373,Sensor - 374,31
374,Sensor - 375,31
375,Sensor - 376,31
376,Sensor - 377,13
377,Sensor - 378,13
378,Sensor - 379,31
379,Sensor - 380,31
380,Sensor - 381,31
381,Sensor - 382,31
382,Sensor - 383,1883
383,Sensor - 384,1883
384,Sensor - 385,1883
385,Sensor - 386,3675
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,168
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,21
395,Sensor - 396,21
396,Sensor - 397,21
397,Sensor - 398,21
398,Sensor - 399,21
399,Sensor - 400,21
400,Sensor - 401,21
401,Sensor - 402,21
402,Sensor - 403,21
403,Sensor - 404,21
404,Sensor - 405,21
405,Sensor - 406,21
406,Sensor - 407,21
407,Sensor - 408,21
408,Sensor - 409,0
409,Sensor - 410,7
410,Sensor - 411,19
411,Sensor - 412,90
412,Sensor - 413,90
413,Sensor - 414,90
414,Sensor - 415,90
415,Sensor - 416,90
416,Sensor - 417,55
417,Sensor - 418,14
418,Sensor - 419,14
419,Sensor - 420,14
420,Sensor - 421,14
421,Sensor - 422,14
422,Sensor - 423,21
423,Sensor - 424,21
424,Sensor - 425,21
425,Sensor - 426,21
426,Sensor - 427,21
427,Sensor - 428,21
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,6
431,Sensor - 432,6
432,Sensor - 433,6
433,Sensor - 434,6
434,Sensor - 435,6
435,Sensor - 436,6
436,Sensor - 437,6
437,Sensor - 438,6
438,Sensor - 439,6
439,Sensor - 440,6
440,Sensor - 441,6
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,95
450,Sensor - 451,95
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,7
463,Sensor - 464,7
464,Sensor - 465,7
465,Sensor - 466,7
466,Sensor - 467,7
467,Sensor - 468,7
468,Sensor - 469,33
469,Sensor - 470,33
470,Sensor - 471,33
471,Sensor - 472,33
472,Sensor - 473,33
473,Sensor - 474,33
474,Sensor - 475,33
475,Sensor - 476,33
476,Sensor - 477,33
477,Sensor - 478,33
478,Sensor - 479,33
479,Sensor - 480,33
480,Sensor - 481,33
481,Sensor - 482,33
482,Sensor - 483,168
483,Sensor - 484,168
484,Sensor - 485,168
485,Sensor - 486,168
486,Sensor - 487,168
487,Sensor - 488,168
488,Sensor - 489,168
489,Sensor - 490,168
490,Sensor - 491,7
491,Sensor - 492,12
492,Sensor - 493,4027
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,330
497,Sensor - 498,330
498,Sensor - 499,31
499,Sensor - 500,13
500,Sensor - 501,13
501,Sensor - 502,31
502,Sensor - 503,31
503,Sensor - 504,31
504,Sensor - 505,31
505,Sensor - 506,31
506,Sensor - 507,31
507,Sensor - 508,31
508,Sensor - 509,31
509,Sensor - 510,31
510,Sensor - 511,13
511,Sensor - 512,13
512,Sensor - 513,31
513,Sensor - 514,31
514,Sensor - 515,31
515,Sensor - 516,31
516,Sensor - 517,1883
517,Sensor - 518,1883
518,Sensor - 519,1883
519,Sensor - 520,3675
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,168
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,21
529,Sensor - 530,21
530,Sensor - 531,21
531,Sensor - 532,21
532,Sensor - 533,21
533,Sensor - 534,21
534,Sensor - 535,21
535,Sensor - 536,21
536,Sensor - 537,21
537,Sensor - 538,21
538,Sensor - 539,21
539,Sensor - 540,21
540,Sensor - 541,21
541,Sensor - 542,21
542,Sensor - 543,12
543,Sensor - 544,12
544,Sensor - 545,12
545,Sensor - 546,12
546,Sensor - 547,472
547,Sensor - 548,472
548,Sensor - 549,472
549,Sensor - 550,472
550,Sensor - 551,472
551,Sensor - 552,472
552,Sensor - 553,472
553,Sensor - 554,472
554,Sensor - 555,472
555,Sensor - 556,472
556,Sensor - 557,472
557,Sensor - 558,472
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,100
563,Sensor - 564,100
564,Sensor - 565,100
565,Sensor - 566,100
566,Sensor - 567,100
567,Sensor - 568,100
568,Sensor - 569,100
569,Sensor - 570,100
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,3303
579,Sensor - 580,3303
580,Sensor - 581,3303
581,Sensor - 582,3303
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
